food,Caloric_Value,Fat,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Iron
chocolate mousse,338,24,24.1,22.2,6.2,0.9,210,0.8
dulce de leche,60,1.4,10.5,9.5,1.3,0,5.5,0.001
apple crisp,454,9.7,87,55.5,4.9,3.9,0,2.3
spinach spaghetti cooked,182,0.9,36.6,0,6.4,0,0,1.5
corn pasta cooked,176,1,39.1,0,3.7,6.7,0,0.4
spaghetti with meat sauce,255,2.9,43.1,7.4,14.3,5.1,17,3.5
pasta with meatballs in tomato sauce,273,13,28.3,7.2,10.6,6.9,23,3.3
cheese tortellini,332,7.8,50.8,1,14.6,2.1,45.4,1.6
pasta with sliced franks in tomato sauce,227,6,32,8,11,4,22.7,2.3
lasagna,166,6.1,18.9,3.8,9,2.1,20.9,0.1
macaroni cheese,310,9.4,43.7,3,12.6,2.3,15.1,0.1
vegetable lasagna,316,13.7,32.2,5.8,15.6,4.3,31.8,1.2
spinach egg noodles cooked,211,2.5,38.8,1.1,8.1,3.7,52.8,1.7
cheese lasagna,316,13,33.6,10.3,15.9,4.1,31.6,3.1
pasta with tomato sauce,176,1.8,35.1,10.1,5.6,2.3,15.1,0.1
spinach pasta cooked,37,0.3,7.1,0,1.4,0,9.3,0.3
vegetable chicken soup,166,4.8,21.1,3.4,12.3,1,16.9,1.5
bean ham soup,198,2.5,33.5,7.8,10.3,9.8,4.9,2.5
cream of chicken soup,227,14.5,18,1.4,6,0,20.2,2.7
tomato soup canned,139,3.3,22.6,16.5,6.3,1.5,10.1,1.4
egg drop soup,65,1.5,10.3,0.2,2.8,1,55.4,0.6
scotch broth,197,6.4,23,0,12.1,3,11.9,2
cream of onion soup,268,12.8,31.7,11.1,6.7,1.2,36.6,1.5
chicken broth dry,10,0.2,1.1,0,0.7,0,0.6,0.059
vegetable soup with beef broth,162,3.8,26.3,4,6,3.2,2.5,1.9
chili with beans canned,287,14.1,30.5,3,14.6,11.3,43.5,8.8
beef noodle soup,168,6.2,17.9,5.2,9.6,1.5,10,2.2
consomme dry,17,0.2,1.9,1.1,2.2,0,0,0.2
chicken mushroom soup,126,6.1,15.1,1,2,4,10.1,0.9
beef vegetable soup,120,2.9,15.4,3.1,8,3,17.5,1.3
black bean soup,234,3.4,39.6,6.4,12.4,17.5,0,3.9
split pea soup with ham bacon,189,3.1,28.6,0,11.6,4.1,4.1,2.1
cream of mushroom soup,199,13.4,17.1,1,3.4,1.8,0,0.5
green pea soup,320,5.7,51.7,16.7,16.7,10,0,3.8
chicken broth soup,78,2.6,1.9,0.9,11.1,0,2.5,1
chicken mushroom chowder soup,431,23.7,38.3,0,16.2,7.5,32.3,2.6
chicken dumplings soup,235,13.4,14.7,1.4,13.6,1.2,80.5,1.5
chicken vegetable soup,148,5.6,17,3,7.1,1.7,16.9,1.7
